Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
0;200853;113824;20,4839054;13293;25139;388;12697;22556;667;23351;46020
1;200853;113824;23,3612933;13519;25417;546;12548;22921;657;23299;46026
2;200853;113824;23,1351579;13361;25354;338;12787;22720;748;23118;46005
3;200853;113824;23,7028782;12888;25327;388;12648;22214;722;22976;46021
4;200853;113824;23,94746;13252;25378;337;12690;23027;761;23296;46283
5;200853;113824;23,5327158;13357;25436;370;12636;22922;801;23214;46123
6;200853;113824;23,963671;13118;25261;381;12608;22711;684;23067;46098
7;200853;113824;24,194826;13041;25274;356;12650;22700;651;23041;45933
8;200853;113824;24,4563873;12880;25264;345;12707;23006;673;23371;45820
9;200853;113824;23,2077136;13458;25065;347;12658;22641;635;23124;46215
10;200853;113824;23,5083689;12706;24722;391;12284;22590;744;23126;45665
11;200853;113824;24,387781;13471;25507;337;12490;22503;699;23130;46259
12;200853;113824;23,4355806;13315;25169;343;12534;22335;789;23294;46179
13;200853;113824;24,4581365;13891;26744;387;13148;23309;803;24041;48384
14;200853;113824;24,3557229;13743;26565;394;13084;25068;698;24746;49218
15;200853;113824;25,4701737;14236;27598;366;13353;23640;678;24328;48621
16;200853;113824;24,5057893;14023;26633;369;13153;23818;884;24464;47998
17;200853;113824;24,3882856;13853;26503;409;13378;23509;703;24324;48358
18;200853;113824;24,8523521;12800;25007;371;12647;22614;634;23157;45889
19;200853;113824;24,6923645;14266;26492;406;13236;23543;700;24313;48540
20;200853;113824;25,1987396;13450;26411;373;13265;23567;747;23940;48101
21;200853;113824;24,3275773;14025;26500;397;12984;23563;669;23897;48070
22;200853;113824;23,8267829;13809;26746;387;13254;23601;705;24106;48442
23;200853;113824;24,0291023;13992;26720;367;13359;23449;825;24458;47606
24;200853;113824;24,9778419;13944;26813;390;12995;23279;729;24237;48337
;;;;;;;;;;;
Step;Qtd. de entradas do índice;Tempo de inserção(ns);;;;;;;;;
0;20000;87100;;;;;;;;;
0;40000;68700;;;;;;;;;
0;60000;1400;;;;;;;;;
0;80000;1200;;;;;;;;;
0;100000;1700;;;;;;;;;
1;20000;600;;;;;;;;;
1;40000;1100;;;;;;;;;
1;60000;1900;;;;;;;;;
1;80000;1300;;;;;;;;;
1;100000;1800;;;;;;;;;
2;20000;701;;;;;;;;;
2;40000;1300;;;;;;;;;
2;60000;2000;;;;;;;;;
