Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
0;200853;113824;20,4839054;12866;24962;331;11814;21343;738;21292;43043
1;200853;113824;19,6456826;12495;24048;360;11594;21012;539;21679;43293
2;200853;113824;20,5253768;13212;25174;388;11995;22257;756;22244;44642
3;200853;113824;20,4476086;12870;24961;327;12296;21487;752;22327;43975
4;200853;113824;20,5881849;12846;24523;496;12282;21639;544;22454;43113
5;200853;113824;19,9544716;12615;23987;306;11830;21144;544;21703;43075
6;200853;113824;20,3255529;12629;24545;300;12097;21741;729;22195;44021
7;200853;113824;20,4416213;12719;24525;316;12415;21603;545;22113;44152
8;200853;113824;20,8460988;12678;24327;299;11875;21940;559;22428;43091
9;200853;113824;19,8168004;12460;23625;463;11523;20926;698;20986;42140
10;200853;113824;20,0136784;12564;23907;301;11817;21040;695;21920;42940
11;200853;113824;19,5495794;12691;25436;322;12479;22355;794;22959;45927
12;200853;113824;20,9537588;13631;25381;353;12391;22523;604;23228;46714
13;200853;113824;21,2075413;13575;25125;359;12773;22442;681;23157;46723
14;200853;113824;21,1291091;13574;25374;374;12479;22193;745;23235;46242
15;200853;113824;20,7434354;13520;25415;338;12442;22438;618;23681;46364
16;200853;113824;21,4701872;12982;25716;350;12537;22402;662;22963;46240
17;200853;113824;21,2354253;13261;25270;326;12063;22278;586;23312;45773
18;200853;113824;21,0779136;13765;25108;330;12661;22319;630;23457;45736
19;200853;113824;20,9190055;13220;25048;321;11785;22763;594;23363;46393
20;200853;113824;21,253691;13454;25047;319;12581;22607;761;22962;45908
21;200853;113824;21,0962506;13713;25689;336;12698;22645;595;23466;45535
22;200853;113824;21,1061768;13204;25002;333;12432;22511;641;23315;46213
23;200853;113824;20,9714005;13677;24890;342;12691;22578;652;23386;46228
24;200853;113824;20,8889413;13453;24933;341;12454;22622;752;23073;46075
;;;;;;;;;;;
Step;Qtd. de entradas do índice;Tempo de inserção(ns);;;;;;;;;
0;20000;79700;;;;;;;;;
0;40000;300;;;;;;;;;
0;60000;300;;;;;;;;;
0;80000;200;;;;;;;;;
0;100000;300;;;;;;;;;
1;20000;200;;;;;;;;;
1;40000;200;;;;;;;;;
1;60000;200;;;;;;;;;
1;80000;500;;;;;;;;;
1;100000;300;;;;;;;;;
2;20000;200;;;;;;;;;
2;40000;200;;;;;;;;;
2;60000;200;;;;;;;;;
2;80000;200;;;;;;;;;
2;100000;200;;;;;;;;;
3;20000;100;;;;;;;;;
3;40000;200;;;;;;;;;
3;60000;300;;;;;;;;;
3;80000;300;;;;;;;;;
3;100000;300;;;;;;;;;
4;20000;100;;;;;;;;;
4;40000;200;;;;;;;;;
4;60000;200;;;;;;;;;
4;80000;200;;;;;;;;;
4;100000;300;;;;;;;;;
5;20000;100;;;;;;;;;
5;40000;200;;;;;;;;;
5;60000;300;;;;;;;;;
5;80000;200;;;;;;;;;
5;100000;300;;;;;;;;;
6;20000;200;;;;;;;;;
6;40000;200;;;;;;;;;
6;60000;300;;;;;;;;;
6;80000;200;;;;;;;;;
6;100000;300;;;;;;;;;
7;20000;100;;;;;;;;;
7;40000;200;;;;;;;;;
7;60000;200;;;;;;;;;
7;80000;200;;;;;;;;;
7;100000;200;;;;;;;;;
8;20000;200;;;;;;;;;
8;40000;200;;;;;;;;;
8;60000;200;;;;;;;;;
8;80000;200;;;;;;;;;
8;100000;200;;;;;;;;;
9;20000;200;;;;;;;;;
9;40000;200;;;;;;;;;
9;60000;200;;;;;;;;;
9;80000;200;;;;;;;;;
9;100000;3800;;;;;;;;;
10;20000;200;;;;;;;;;
10;40000;200;;;;;;;;;
10;60000;200;;;;;;;;;
10;80000;200;;;;;;;;;
10;100000;200;;;;;;;;;
11;20000;200;;;;;;;;;
11;40000;200;;;;;;;;;
11;60000;200;;;;;;;;;
11;80000;200;;;;;;;;;
11;100000;200;;;;;;;;;
12;20000;200;;;;;;;;;
12;40000;200;;;;;;;;;
12;60000;200;;;;;;;;;
12;80000;200;;;;;;;;;
12;100000;300;;;;;;;;;
13;20000;200;;;;;;;;;
13;40000;200;;;;;;;;;
13;60000;300;;;;;;;;;
13;80000;200;;;;;;;;;
13;100000;400;;;;;;;;;
14;20000;200;;;;;;;;;
14;40000;200;;;;;;;;;
14;60000;200;;;;;;;;;
14;80000;200;;;;;;;;;
14;100000;500;;;;;;;;;
15;20000;200;;;;;;;;;
15;40000;200;;;;;;;;;
15;60000;300;;;;;;;;;
15;80000;200;;;;;;;;;
15;100000;200;;;;;;;;;
16;20000;300;;;;;;;;;
16;40000;200;;;;;;;;;
16;60000;200;;;;;;;;;
16;80000;300;;;;;;;;;
16;100000;300;;;;;;;;;
17;20000;100;;;;;;;;;
17;40000;200;;;;;;;;;
17;60000;200;;;;;;;;;
17;80000;200;;;;;;;;;
17;100000;300;;;;;;;;;
18;20000;200;;;;;;;;;
18;40000;200;;;;;;;;;
18;60000;200;;;;;;;;;
18;80000;200;;;;;;;;;
18;100000;300;;;;;;;;;
19;20000;200;;;;;;;;;
19;40000;200;;;;;;;;;
19;60000;200;;;;;;;;;
19;80000;300;;;;;;;;;
19;100000;300;;;;;;;;;
20;20000;100;;;;;;;;;
20;40000;201;;;;;;;;;
20;60000;299;;;;;;;;;
20;80000;201;;;;;;;;;
20;100000;300;;;;;;;;;
21;20000;200;;;;;;;;;
21;40000;200;;;;;;;;;
21;60000;300;;;;;;;;;
21;80000;200;;;;;;;;;
21;100000;500;;;;;;;;;
22;20000;200;;;;;;;;;
22;40000;200;;;;;;;;;
22;60000;300;;;;;;;;;
22;80000;300;;;;;;;;;
22;100000;200;;;;;;;;;
23;20000;200;;;;;;;;;
23;40000;200;;;;;;;;;
23;60000;200;;;;;;;;;
23;80000;200;;;;;;;;;
23;100000;300;;;;;;;;;
24;20000;301;;;;;;;;;
24;40000;200;;;;;;;;;
24;60000;300;;;;;;;;;
24;80000;299;;;;;;;;;
24;100000;200;;;;;;;;;
;;;;;;;;;;;
Step;Qtd. de entradas do índice;Uso de memória(bytes);;;;;;;;;
0;20000;37693536;;;;;;;;;
0;40000;122856952;;;;;;;;;
0;60000;271063440;;;;;;;;;
0;80000;439286776;;;;;;;;;
0;100000;615426984;;;;;;;;;
1;20000;37726584;;;;;;;;;
1;40000;122888872;;;;;;;;;
1;60000;271094776;;;;;;;;;
1;80000;439317984;;;;;;;;;
1;100000;615458192;;;;;;;;;
2;20000;37738200;;;;;;;;;
2;40000;122900488;;;;;;;;;
2;60000;271106392;;;;;;;;;
2;80000;439329600;;;;;;;;;
