Step;Tamanho do dataset; Qtd. entradas do índice;Tempo de construção do índice(seg);Tempo de consulta para 1 palavra - Aleatório(ms);Tempo de consulta para 2 palavras - Aleatório(ms);Tempo de consulta para 1 palavra - Melhor caso(ms);Tempo de consulta para 1 palavra - Caso médio(ms);Tempo de consulta para 1 palavra - Pior caso(ms);Tempo de consulta para 2 palavras - Melhor caso(ms);Tempo de consulta para 2 palavras - Caso médio(ms);Tempo de consulta para 2 palavras - Pior caso(ms)
0;200853;113824;20,9442293;13305;25459;336;12458;22711;746;23111;45775
1;200853;113824;21,0239122;13557;25106;356;12585;22579;672;22806;45625
2;200853;113824;20,8308467;13728;24949;326;12539;22180;644;23153;46248
3;200853;113824;20,8556094;13345;24975;386;12405;22382;670;22760;46058
4;200853;113824;21,0067941;13036;25362;347;12516;22921;666;23109;45846
5;200853;113824;21,0223528;13265;25178;438;12458;22733;637;23124;45906
6;200853;113824;20,9515366;13079;25526;376;12473;22656;753;23230;46043
7;200853;113824;20,8423954;13213;25345;337;12870;22567;829;23230;46480
8;200853;113824;21,1405848;13339;25308;360;12697;22370;799;23348;46323
9;200853;113824;20,7141891;13507;25033;359;12556;22353;613;23153;46559
10;200853;113824;20,8431946;13414;25156;336;12467;22679;654;23460;46118
11;200853;113824;20,6865079;13251;25108;346;12738;22799;780;23077;46261
12;200853;113824;20,914859;12805;25390;332;12671;21994;550;22394;45622
13;200853;113824;20,8237495;13175;25009;331;12800;22394;679;23048;45541
14;200853;113824;21,2148885;13352;25252;347;12625;22179;597;23132;45736
15;200853;113824;21,306313;12942;25692;328;12692;22527;813;22909;45780
16;200853;113824;20,9462121;13489;25103;333;12277;22871;650;23416;46455
17;200853;113824;20,6339863;13393;24973;491;12421;22416;846;22854;45839
18;200853;113824;20,9840018;13455;25184;365;12579;22551;737;23321;46596
19;200853;113824;21,1323726;13334;26282;375;13148;23306;673;24028;47876
20;200853;113824;21,218355;13175;25692;368;13097;23435;686;24198;48393
21;200853;113824;21,5046316;14185;26513;366;13231;23692;632;24266;48749
